Date,Bank_Native_Country,State,Bank_Name,Ticker,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Minm_Balance,Maxm_Balance,Bank_Offer_Feature,Term_in_Months,Interest_Type,Interest,APY,Source
 2018-06-12,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,CD,36MCDF,Fixed Rate Certificate of Deposit,25000,99999,Offline,36.0,Fixed,0.4%,0.4%,Bank Website
 2018-06-12,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,CD,36MCDF,Fixed Rate Certificate of Deposit,100000,499999,Offline,36.0,Fixed,0.45%,0.45%,Bank Website
 2018-06-12,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,CD,36MCDF,Fixed Rate Certificate of Deposit,500000,,Offline,36.0,Fixed,0.5%,0.5%,Bank Website
 2018-06-12,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,CD,12MCDF,Ready Access Certificate of Deposit,1000,,Offline,12.0,Fixed,0.15%,0.15%,Bank Website
 2018-06-12,US,New York,SUNTRUST BANKS INC,STI,USD,Bank,Deposits,Savings,_MSBF,Select Savings,1000,,Offline,,Fixed,0.01%,0.01%,Bank Website
 2018-06-12,US,New York,SUNTRUST BANKS INC,STI,USD,Bank,Deposits,Savings,_MSBF,Select Savings,,2499,Offline,,Fixed,,,Bank Website
 2018-06-12,US,New York,SUNTRUST BANKS INC,STI,USD,Bank,Deposits,Savings,_MSBF,Select Savings,2500,9999,Offline,,Fixed,,,Bank Website
 2018-06-12,US,New York,SUNTRUST BANKS INC,STI,USD,Bank,Deposits,Savings,_MSBF,Select Savings,10000,24999,Offline,,Fixed,,,Bank Website
 2018-06-12,US,New York,SUNTRUST BANKS INC,STI,USD,Bank,Deposits,Savings,_MSBF,Select Savings,25000,49999,Offline,,Fixed,,,Bank Website
 2018-06-12,US,New York,SUNTRUST BANKS INC,STI,USD,Bank,Deposits,Savings,_MSBF,Select Savings,50000,99999,Offline,,Fixed,,,Bank Website
 2018-06-12,US,New York,SUNTRUST BANKS INC,STI,USD,Bank,Deposits,Savings,_MSBF,Select Savings,100000,249999,Offline,,Fixed,,,Bank Website
 2018-06-12,US,New York,SUNTRUST BANKS INC,STI,USD,Bank,Deposits,Savings,_MSBF,Select Savings,250000,499999,Offline,,Fixed,,,Bank Website
 2018-06-12,US,New York,SUNTRUST BANKS INC,STI,USD,Bank,Deposits,Savings,_MSBF,Select Savings,500000,999999,Offline,,Fixed,,,Bank Website
 2018-06-12,US,New York,SUNTRUST BANKS INC,STI,USD,Bank,Deposits,Savings,_MSBF,Select Savings,1,,Offline,,Fixed,,,Bank Website
 2018-06-12,US,New York,SUNTRUST BANKS INC,STI,USD,Bank,Deposits,Savings,_MSBF,Balanced Banking,3000,,Offline,,Fixed,,,Bank Website
 2018-06-12,US,New York,SUNTRUST BANKS INC,STI,USD,Bank,Deposits,Checking,_MCCF,Essential Checking,500,,Offline,,Fixed,,,Bank Website
 2018-06-12,US,New York,SUNTRUST BANKS INC,STI,USD,Bank,Deposits,Checking,_MCCF,Select Checking,,2499,Offline,,Fixed,,0.01%,Bank Website
 2018-06-12,US,New York,SUNTRUST BANKS INC,STI,USD,Bank,Deposits,Checking,_MCCF,Select Checking,2500,9999,Offline,,Fixed,,0.01%,Bank Website
 2018-06-12,US,New York,SUNTRUST BANKS INC,STI,USD,Bank,Deposits,Checking,_MCCF,Select Checking,10000,24999,Offline,,Fixed,,0.01%,Bank Website
 2018-06-12,US,New York,SUNTRUST BANKS INC,STI,USD,Bank,Deposits,Checking,_MCCF,Select Checking,25000,,Offline,,Fixed,,0.01%,Bank Website
 2018-06-12,US,New York,SUNTRUST BANKS INC,STI,USD,Bank,Deposits,Checking,_MCCF,Signature Advantage Checking,,9999,Offline,,Fixed,,0.01%,Bank Website
 2018-06-12,US,New York,SUNTRUST BANKS INC,STI,USD,Bank,Deposits,Checking,_MCCF,Signature Advantage Checking,10000,24999,Offline,,Fixed,,0.01%,Bank Website
 2018-06-12,US,New York,SUNTRUST BANKS INC,STI,USD,Bank,Deposits,Checking,_MCCF,Signature Advantage Checking,25000,49999,Offline,,Fixed,,0.01%,Bank Website
 2018-06-12,US,New York,SUNTRUST BANKS INC,STI,USD,Bank,Deposits,Checking,_MCCF,Signature Advantage Checking,50000,99999,Offline,,Fixed,,0.01%,Bank Website
 2018-06-12,US,New York,SUNTRUST BANKS INC,STI,USD,Bank,Deposits,Checking,_MCCF,Signature Advantage Checking,100000,249999,Offline,,Fixed,,0.01%,Bank Website
 2018-06-12,US,New York,SUNTRUST BANKS INC,STI,USD,Bank,Deposits,Checking,_MCCF,Signature Advantage Checking,250000,499999,Offline,,Fixed,,0.01%,Bank Website
 2018-06-12,US,New York,SUNTRUST BANKS INC,STI,USD,Bank,Deposits,Checking,_MCCF,Signature Advantage Checking,500000,999999,Offline,,Fixed,,0.01%,Bank Website
 2018-06-12,US,New York,SUNTRUST BANKS INC,STI,USD,Bank,Deposits,Checking,_MCCF,Signature Advantage Checking,1000000,1999999,Offline,,Fixed,,0.01%,Bank Website
