Date,Bank_Native_Country,State,Bank_Name,Ticker,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Min_Loan_Amount,Bank_Offer_Feature,Term_in_Year,Interest_Type,Interest,APR,Mortgage_Loan_Amt,Mortgage_Down_Payment,Credit_Score,Mortgage_Category,Mortgage_Reason,Mortgage_Pymt_Mode,Source
 2018-08-10,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,30YMV,5/1 ARM variable,,Offline,30.0,Variable,3.875%,5.026%,100000,20%,740+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-10,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,30YMF,Fixed 30 Years,,Offline,30.0,Fixed,4.25%,4.625%,300000,20%,740+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-10,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,20YMF,Fixed 20 Years,,Offline,20.0,Fixed,4.25%,4.727%,300000,20%,740+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-10,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,15YMF,Fixed 15 Years,,Offline,15.0,Fixed,4.0%,4.629%,300000,20%,740+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-10,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,30YMV,10/1 ARM variable,,Offline,30.0,Variable,4.125%,4.838%,300000,20%,740+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-10,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,30YMV,7/1 ARM variable,,Offline,30.0,Variable,3.875%,4.876%,300000,20%,740+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-10,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,30YMV,5/1 ARM variable,,Offline,30.0,Variable,3.75%,4.965%,300000,20%,740+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-10,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,30YMF,Fixed 30 Years,,Offline,30.0,Fixed,4.25%,4.625%,500000,20%,740+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-10,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,20YMF,Fixed 20 Years,,Offline,20.0,Fixed,4.25%,4.727%,500000,20%,740+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-10,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,15YMF,Fixed 15 Years,,Offline,15.0,Fixed,4.0%,4.629%,500000,20%,740+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-10,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,30YMV,10/1 ARM variable,,Offline,30.0,Variable,4.125%,4.838%,500000,20%,740+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-10,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,30YMV,7/1 ARM variable,,Offline,30.0,Variable,3.875%,4.876%,500000,20%,740+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-10,US,New York,BANK OF AMERICA CORP,BAC,USD,Bank,Mortgages,Mortgages,30YMV,5/1 ARM variable,,Offline,30.0,Variable,3.75%,4.965%,500000,20%,740+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-10,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,15YMF,15 Year Fixed,,Offline,15.0,Fixed,3.875%,4.451%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-10,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMV,10/1 Libor ARM,,Offline,30.0,Variable,4.375%,4.928%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
